,state,month,cases,month_name,fips,new_cases,color,Population,case_rate
77,District of Columbia,4,4323,April,11,3828.0,b,705749,542.40246886641
279,New Jersey,4,118652,April,34,99956.0,b,8882190,1125.3530942256357
297,New York,4,309696,April,36,233485.0,b,19453561,1200.2172764153565
197,Massachusetts,4,62205,April,25,55585.0,b,6892503,806.4559420576242
59,Connecticut,4,27700,April,9,24572.0,b,3565287,689.2011779135873
370,Rhode Island,4,8621,April,44,8133.0,b,1059361,767.7269599315059
78,District of Columbia,5,8801,May,11,4478.0,b,705749,634.503201563162
198,Massachusetts,5,96965,May,25,34760.0,b,6892503,504.3160663114691
188,Maryland,5,53456,May,24,31631.0,b,6045680,523.2000370512498
371,Rhode Island,5,14928,May,44,6307.0,b,1059361,595.3589003182107
253,Nebraska,5,14101,May,31,9769.0,r,1934408,505.0123862184193
125,Illinois,5,120588,May,17,67670.0,b,12671821,534.0195383126071
23,Arizona,6,79399,June,4,59463.0,r,7278717,816.9434256064633
89,Florida,7,470378,July,12,317952.0,r,21477737,1480.3794273111735
98,Georgia,7,171342,July,13,94062.0,r,10617423,885.9211882205315
116,Idaho,7,20853,July,16,14729.0,r,1787065,824.200574685308
4,Alabama,7,87723,July,1,49678.0,r,4903185,1013.1781688841029
309,North Carolina,7,122370,July,37,57306.0,r,10488084,546.3915048735307
227,Mississippi,7,58747,July,28,31499.0,r,2976149,1058.3811495997008
264,Nevada,7,48142,July,32,29560.0,b,3080156,959.6916519812632
336,Oklahoma,7,36456,July,40,22699.0,r,3956971,573.6458518397027
172,Louisiana,7,116394,July,22,58191.0,r,4648794,1251.7440007021175
382,South Carolina,7,89016,July,45,52617.0,r,5148714,1021.9445088618245
44,California,7,502273,July,6,270120.0,b,39512223,683.6365546934678
400,Tennessee,7,103144,July,47,60329.0,r,6829174,883.4011258169729
420,Utah,7,40258,July,49,17894.0,r,3205958,558.1482976383346
24,Arizona,7,174108,July,4,94709.0,r,7278717,1301.1771167913246
410,Texas,7,443090,July,48,276387.0,r,28995881,953.1940071074232
33,Arkansas,7,42511,July,5,21734.0,r,3017804,720.1925638643198
34,Arkansas,8,61224,August,5,18713.0,r,3017804,620.0866590408125
337,Oklahoma,8,58733,August,40,22277.0,r,3956971,562.981128747216
155,Kansas,8,43407,August,20,15286.0,r,2913314,524.6945574696033
365,Puerto Rico,8,33199,August,72,16418.0,n,3193694,514.0755501309768
146,Iowa,8,65252,August,19,20499.0,r,3155070,649.7161711150624
319,North Dakota,8,11820,August,38,5347.0,r,762062,701.6489471985219
228,Mississippi,8,82950,August,28,24203.0,r,2976149,813.2321332030084
411,Texas,8,640317,August,48,197227.0,r,28995881,680.1897138424592
401,Tennessee,8,152033,August,47,48889.0,r,6829174,715.8845271770788
392,South Dakota,8,13509,August,46,4745.0,r,884659,536.364859228245
5,Alabama,8,126058,August,1,38335.0,r,4903185,781.8387435921753
265,Nevada,8,69318,August,32,21176.0,b,3080156,687.4976462231134
90,Florida,8,623463,August,12,153085.0,r,21477737,712.761311864467
99,Georgia,8,254238,August,13,82896.0,r,10617423,780.754426003372
383,South Carolina,8,118992,August,45,29976.0,r,5148714,582.203633761751
173,Louisiana,8,148894,August,22,32500.0,r,4648794,699.1060477190429
237,Missouri,8,86328,August,29,35254.0,r,6137428,574.4099971519014
45,California,8,712541,August,6,210268.0,b,39512223,532.1593776184144
117,Idaho,8,32256,August,16,11403.0,r,1787065,638.0853522395661
422,Utah,9,73053,September,49,20887.0,r,3205958,651.5057277731024
238,Missouri,9,130065,September,29,43737.0,r,6137428,712.6275045507663
470,Wisconsin,9,129172,September,55,48439.0,r,5822434,831.9372963265879
247,Montana,9,13179,September,30,5739.0,r,1068778,536.9683881966133
6,Alabama,9,154701,September,1,28643.0,r,4903185,584.1713090572761
320,North Dakota,9,21849,September,38,10029.0,r,762062,1316.0346533484153
229,Mississippi,9,98190,September,28,15240.0,r,2976149,512.0711362233544
338,Oklahoma,9,87199,September,40,28466.0,r,3956971,719.3886434851304
384,South Carolina,9,147942,September,45,28950.0,r,5148714,562.2763276422035
402,Tennessee,9,193357,September,47,41324.0,r,6829174,605.1097834086523
393,South Dakota,9,22389,September,46,8880.0,r,884659,1003.7765964060727
118,Idaho,9,42549,September,16,10293.0,r,1787065,575.9723345261644
35,Arkansas,9,83697,September,5,22473.0,r,3017804,744.6805690495473
257,Nebraska,9,45564,September,31,11277.0,r,1934408,582.9690530642966
156,Kansas,9,60957,September,20,17550.0,r,2913314,602.4067436603126
147,Iowa,9,89248,September,19,23996.0,r,3155070,760.553648571981
312,North Carolina,10,274805,October,37,63801.0,r,10488084,608.3189265074536
258,Nebraska,10,70732,October,31,25168.0,r,1934408,1301.0698880484365
321,North Dakota,10,43921,October,38,22072.0,r,762062,2896.3522653012483
394,South Dakota,10,45992,October,46,23603.0,r,884659,2668.0336717311416
403,Tennessee,10,256923,October,47,63566.0,r,6829174,930.8007088412156
267,Nevada,10,100844,October,32,20760.0,b,3080156,673.9918367770983
385,South Carolina,10,176612,October,45,28670.0,r,5148714,556.8380764594809
294,New Mexico,10,46490,October,35,17055.0,b,2096829,813.3710474244681
330,Ohio,10,215697,October,39,61710.0,r,11689100,527.9277275410425
376,Rhode Island,10,32874,October,44,8126.0,b,1059361,767.066184237479
471,Wisconsin,10,237870,October,55,108698.0,r,5822434,1866.8824756107153
413,Texas,10,953451,October,48,169424.0,r,28995881,584.3036809262668
423,Utah,10,114670,October,49,41617.0,r,3205958,1298.1143233941307
367,Puerto Rico,10,66128,October,72,17373.0,n,3193694,543.9782270937666
339,Oklahoma,10,122762,October,40,35563.0,r,3956971,898.7430031708597
239,Missouri,10,189925,October,29,59860.0,r,6137428,975.327124000477
139,Indiana,10,181837,October,18,59542.0,r,6732219,884.4334980784196
101,Georgia,10,372631,October,13,71146.0,r,10617423,670.0872707058954
148,Iowa,10,128798,October,19,39550.0,r,3155070,1253.5379563686383
157,Kansas,10,86771,October,20,25814.0,r,2913314,886.069953324633
166,Kentucky,10,109244,October,21,36414.0,r,4467673,815.0551752556645
56,Colorado,10,107844,October,8,36754.0,b,5758736,638.2303338788234
119,Idaho,10,64797,October,16,22248.0,r,1787065,1244.9463226015841
212,Michigan,10,197164,October,26,59090.0,r,9986857,591.6776419247817
221,Minnesota,10,148526,October,27,49339.0,b,5639632,874.862047736448
16,Alaska,10,16247,October,2,7540.0,r,731545,1030.695309242767
36,Arkansas,10,112190,October,5,28493.0,r,3017804,944.1633717762983
130,Illinois,10,416557,October,17,119622.0,b,12671821,944.0000770212899
230,Mississippi,10,120160,October,28,21970.0,r,2976149,738.2022875870798
248,Montana,10,32801,October,30,19622.0,r,1068778,1835.9285090074832
7,Alabama,10,192285,October,1,37584.0,r,4903185,766.5221687535754
480,Wyoming,10,13298,October,56,7350.0,r,578759,1269.9586529107971
102,Georgia,11,452322,November,13,79691.0,r,10617423,750.5681934307411
386,South Carolina,11,216129,November,45,39517.0,r,5148714,767.5120428130209
93,Florida,11,992652,November,12,190113.0,r,21477737,885.1630877126394
472,Wisconsin,11,409054,November,55,171184.0,r,5822434,2940.076263638197
84,District of Columbia,11,21448,November,11,4182.0,b,705749,592.5619448274102
395,South Dakota,11,79900,November,46,33908.0,r,884659,3832.889282763189
75,Delaware,11,35251,November,10,10300.0,b,973764,1057.751159418504
66,Connecticut,11,112581,November,9,41374.0,b,3565287,1160.467586480415
442,Virginia,11,235942,November,51,54752.0,b,8535519,641.4607008665788
8,Alabama,11,247229,November,1,54944.0,r,4903185,1120.5777469134857
404,Tennessee,11,358809,November,47,101886.0,r,6829174,1491.922742047574
48,California,11,1219496,November,6,284248.0,b,39512223,719.3925788483224
37,Arkansas,11,156247,November,5,44057.0,r,3017804,1459.9026311847954
462,West Virginia,11,46997,November,54,22537.0,r,1792147,1257.541931549142
414,Texas,11,1247065,November,48,293614.0,r,28995881,1012.6058939198984
453,Washington,11,168333,November,53,55753.0,b,7614893,732.1573658356066
28,Arizona,11,325995,November,4,80033.0,r,7278717,1099.5481758667083
17,Alaska,11,31896,November,2,15649.0,r,731545,2139.1712061458966
424,Utah,11,193809,November,49,79139.0,r,3205958,2468.4977158153665
57,Colorado,11,230057,November,8,122213.0,b,5758736,2122.2191814314806
259,Nebraska,11,126466,November,31,55734.0,r,1934408,2881.1915583475666
377,Rhode Island,11,53954,November,44,21080.0,b,1059361,1989.8788042980627
240,Missouri,11,309420,November,29,119495.0,r,6137428,1946.9882172141163
268,Nevada,11,150825,November,32,49981.0,b,3080156,1622.677552695383
277,New Hampshire,11,20480,November,33,9396.0,b,1359711,691.0291966454637
231,Mississippi,11,151785,November,28,31625.0,r,2976149,1062.6148085999728
286,New Jersey,11,335943,November,34,96264.0,b,8882190,1083.7867688036397
295,New Mexico,11,95417,November,35,48927.0,b,2096829,2333.3805474838437
222,Minnesota,11,313028,November,27,164502.0,b,5639632,2916.8924497201238
304,New York,11,645932,November,36,133709.0,b,19453561,687.3240328595881
213,Michigan,11,377596,November,26,180432.0,r,9986857,1806.6945386321242
313,North Carolina,11,362124,November,37,87319.0,r,10488084,832.5543540650514
204,Massachusetts,11,224964,November,25,66388.0,b,6892503,963.191455992112
194,Maryland,11,196727,November,24,51134.0,b,6045680,845.7940215161901
322,North Dakota,11,78664,November,38,34743.0,r,762062,4559.077870304516
176,Louisiana,11,232245,November,22,45596.0,r,4648794,980.8135185168454
331,Ohio,11,414432,November,39,198735.0,r,11689100,1700.1736660649663
167,Kentucky,11,180164,November,21,70920.0,r,4467673,1587.4035543783082
158,Kansas,11,155377,November,20,68606.0,r,2913314,2354.912652738428
340,Oklahoma,11,195545,November,40,72783.0,r,3956971,1839.3614711859148
350,Oregon,11,74120,November,41,29197.0,b,4217737,692.2432574624734
359,Pennsylvania,11,361387,November,42,148571.0,r,12801989,1160.5306019244354
149,Iowa,11,228690,November,19,99892.0,r,3155070,3166.078724085361
368,Puerto Rico,11,85317,November,72,19189.0,n,3193694,600.8402808785062
140,Indiana,11,336027,November,18,154190.0,r,6732219,2290.3295332489924
249,Montana,11,61801,November,30,29000.0,r,1068778,2713.3792050360316
131,Illinois,11,721487,November,17,304930.0,b,12671821,2406.362905536623
120,Idaho,11,100758,November,16,35961.0,r,1787065,2012.2939008933643
481,Wyoming,11,32489,November,56,19191.0,r,578759,3315.8879602736197
